"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"PS_Bacteria"	"Hamilton"	"Yellowstone National Park"	"USA"	0.3645603182	0.3619089704	0.3617616733	0.0091324201
"Q_Filter"	"Huo"	"Co-op Hotel (bottom)"	"China"	0.000927357	0.000927357	0.000618238	0.000309119
"Q_Filter_B"	"Huo"	"Co-op Hotel (bottom)"	"China"	0.0074074074	0.0074074074	0.0059259259	0.0059259259
"Q_Sediment"	"Huo"	"Co-op Hotel (bottom)"	"China"	0.8123587038	0.8018085908	0.6917859834	0.284853052
"Q2_Sediment"	"Huo"	"Co-op Hotel (bottom)"	"China"	0.8754273326	0.8514133244	0.7831234887	0.2716584674
"Q3_Sediment"	"Huo"	"Co-op Hotel (bottom)"	"China"	0.8322460391	0.8238583411	0.7017707363	0.3522833178
"QC2"	"Wang"	"Qucai hot spring #2"	"Tibet"	0.6336930456	0.6318944844	0.3267386091	0.0659472422
"QC7"	"Wang"	"Qucai hot spring #7"	"Tibet"	0.6633522727	0.6271306818	0.3032670455	0.1207386364
"QC9"	"Wang"	"Qucai hot spring #9"	"Tibet"	0.372909699	0.3394648829	0.27090301	0.1003344482
"R_Filter"	"Huo"	"Co-op Hotel (side)"	"China"	0.002886791	0.0026527268	0.0019505344	0.0017164703
"R_Sinter"	"Huo"	"Co-op Hotel (side)"	"China"	0.6761904762	0.6666666667	0.580952381	0.1761904762
"R2_Sinter"	"Huo"	"Co-op Hotel (side)"	"China"	0.7185354691	0.700228833	0.5938215103	0.2059496568
"R2_Sinter_B"	"Huo"	"Co-op Hotel (side)"	"China"	0.6789702233	0.6647022333	0.5669975186	0.1755583127
"R3_Sinter"	"Huo"	"Co-op Hotel (side)"	"China"	0.6307829181	0.6236654804	0.5880782918	0.0880782918
"RC1_2012"	"Sharp"	"Western Canada"	"Canada"	0.4771748493	0.3914728682	0.2717484927	0.0824002297
"RC3_2012"	"Sharp"	"Western Canada"	"Canada"	0.5650066845	0.4698362299	0.418532754	0.0736129679
"RC4_2012"	"Sharp"	"Western Canada"	"Canada"	0.4144617442	0.3234310822	0.2780590314	0.0947559461
"RTK10_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3469834323	0.7439824945	0.2925914348	0.020944045
"RTK12_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0400778841	0.0392665909	0.0413759533	0.0352101249
"RTK2_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.1125730994	0.1109022556	0.1106934002	0.074352548
"RTK3_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.177734375	0.1774902344	0.1774902344	0.1389160156
"RTK4_2010p"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	1	1	1	1
"RTK5_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0640437993	0.0604787369	0.0606060606	0.0496562261
"RTK6_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0510131784	0.0500212555	0.0501629588	0.0437863115
"RTK6_2010p"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	1	1	1	1
"RTK7_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0206659013	0.0120551091	0.0114810563	0.0057405281
"S_Filter"	"Huo"	"Golden Pond Motel"	"China"	0.0041604755	0.0038632987	0.0023774146	0.0020802377
"S_Sediment"	"Huo"	"Golden Pond Motel"	"China"	0.7967914439	0.7967914439	0.3636363636	0.0802139037
"SAMN01129590"	"Cole"	"Great Basin"	"USA"	0.3781088736	0.3616575486	0.3437706127	0.1160904823
"SAMN01129591"	"Cole"	"Great Basin"	"USA"	0.3279742765	0.307073955	0.307073955	0.1189710611
"SAMN01129592"	"Cole"	"Great Basin"	"USA"	0.3405639913	0.2169197397	0.136659436	0.0281995662
"SAMN01129593"	"Cole"	"Great Basin"	"USA"	0.2858827228	0.27283446	0.1452601792	0.045511712
"SAMN01129594"	"Cole"	"Great Basin"	"USA"	0.325	0.225	0.175	0.075
"SAMN01129595"	"Cole"	"Great Basin"	"USA"	0.4720049769	0.465161749	0.0495023107	0.0227515108
"SAMN01129596"	"Cole"	"Great Basin"	"USA"	0.1875	0.1875	0.0208333333	0.0069444444
"SAMN01129597"	"Cole"	"Great Basin"	"USA"	0.3640322526	0.3599836696	0.0123498792	0.0101044466
"TIK2_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.4378937894	0.3726372637	0.2000450045	0.1136363636
"TIK3_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.2052129222	0.7081497797	0.1721732746	0.0290014684
"TIK4_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.9883096972	0.9879264086	0.954580299	0.0103487926
"TIK4_2010a"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.8780925063	0.8678737899	0.8535317318	0.5112943707
"TIK4_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.7683529859	0.7984024344	0.6869532141	0.0251046025
"TIK5_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.9871198014	0.9827746741	0.9377715705	0.0119490999
"TIK5_2012a"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.5962092494	0.5614859742	0.5522365428	0.306444276
"TIK6_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.9854642539	0.9851676061	0.9673687333	0.0124592109
"TIK6_2012a"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.5302013423	0.4736337488	0.4691594759	0.2510386705
"TIK7_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.8571058763	0.8615066011	0.6419880922	0.0603158167
"TIK7_2012a"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3239929947	0.2848272568	0.2646075466	0.1071485432
"TIK8_2012"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.9249050766	0.9226550415	0.6392912389	0.2320348755
"TIK8_2012a"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.3503197442	0.3173461231	0.2557953637	0.0707434053
"Toad2_2012"	"Sharp"	"Western Canada"	"Canada"	0.3641938379	0.3253066108	0.2687705654	0.1443314388
"WH1_2010"	"Sharp"	"Western Canada"	"Canada"	0.5242825607	0.4274282561	0.2298565121	0.0560154525
"WKT4_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.1549166819	0.1236037356	0.1272660685	0.1085881707
"WKT6_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.6062086354	0.6027418847	0.2043807123	0.0948629058
"WKT7_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.1237966885	0.1033885252	0.076819407	0.0242587601
"WKT8_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0672995183	0.0650325871	0.0226693114	0.0177103995
"X10_120620O"	"This_study"	"Great Basin"	"USA"	0.8264210114	0.7830262642	0.3843198746	0.2094472756
"X11_120619N"	"This_study"	"Great Basin"	"USA"	0.9846746159	0.8675288753	0.7960602549	0.5569842634
"X12_120619M"	"This_study"	"Great Basin"	"USA"	0.8668110449	0.7972633755	0.5628783777	0.4033567948
"X13_120619L"	"This_study"	"Great Basin"	"USA"	0.9555360817	0.7404937895	0.4857883106	0.2481520994
"X14_120619K"	"This_study"	"Great Basin"	"USA"	0.8143270822	0.6196221732	0.5347490347	0.4935190292
"X15_120619J"	"This_study"	"Great Basin"	"USA"	0.7752404592	0.6672665219	0.4173751164	0.2253180267
"X16_120619I"	"This_study"	"Great Basin"	"USA"	0.9848542219	0.7718036097	0.5290083722	0.4078421473
"X17_GVS1506"	"This_study"	"Great Basin"	"USA"	0.9934444141	0.9922607666	0.9337157425	0.6385322772
"X18_W2"	"This_study"	"Great Basin"	"USA"	1	0.5555555556	0.2222222222	0.2222222222
"X19_V6"	"This_study"	"Great Basin"	"USA"	0.9855317207	0.9130990415	0.9126426289	0.908443633
"X1_120619H"	"This_study"	"Great Basin"	"USA"	0.9931871127	0.9306843655	0.7426047207	0.6404993187
"X20_UO"	"This_study"	"Great Basin"	"USA"	0.9424720994	0.8473362813	0.7073068014	0.5171615077
"X21_T2"	"This_study"	"Great Basin"	"USA"	0.9279678918	0.836351017	0.5258917255	0.4033435935
"X22_S1"	"This_study"	"Great Basin"	"USA"	0.9019701836	0.7568189444	0.5559177412	0.310387805
"X23_R0"	"This_study"	"Great Basin"	"USA"	0.9035518095	0.6964398037	0.3891055479	0.1966285067
"X24_Q2"	"This_study"	"Great Basin"	"USA"	0.9374800298	0.6755067987	0.3565519935	0.199062733
"X25_X"	"This_study"	"Great Basin"	"USA"	0.9284106806	0.7786022748	0.5697950246	0.3378140016
"X26_Y"	"This_study"	"Great Basin"	"USA"	0.9063943871	0.7544350009	0.4988306429	0.2640465461
"X27_Z"	"This_study"	"Great Basin"	"USA"	0.8992097736	0.7212391526	0.2673195327	0.0740776652
"X28_AA"	"This_study"	"Great Basin"	"USA"	0.9713785047	0.7682535047	0.5459258178	0.3257885514
"X29_BB"	"This_study"	"Great Basin"	"USA"	0.8872069411	0.7290012922	0.5470740262	0.1383607163
"X2_120619G"	"This_study"	"Great Basin"	"USA"	0.9610020548	0.8281816989	0.6504612425	0.456214751
"X30_CC"	"This_study"	"Great Basin"	"USA"	0.895731042	0.7180851064	0.4842471358	0.1437534097
"X31_DD"	"This_study"	"Great Basin"	"USA"	0.8874127142	0.7419515734	0.4529790514	0.3157703818
"X32_EE"	"This_study"	"Great Basin"	"USA"	0.7952411438	0.5412932138	0.5082159624	0.4774861289
"X33_MM120622"	"This_study"	"Great Basin"	"USA"	0.9004581257	0.7201012699	0.353922199	0.1954669667
"X34_LL120622"	"This_study"	"Great Basin"	"USA"	0.8805956679	0.4189530686	0.4188628159	0.3694945848
"X35_KK120622"	"This_study"	"Great Basin"	"USA"	0.8242373356	0.5149034425	0.5146935348	0.5145535964
"X36_JJ120622"	"This_study"	"Great Basin"	"USA"	0.6927710843	0.0843373494	0.0843373494	0.078313253
"X37_II120622"	"This_study"	"Great Basin"	"USA"	0.9408640346	0.8523292398	0.6846307385	0.522751108
"X38_HH120622"	"This_study"	"Great Basin"	"USA"	0.8626143664	0.807377847	0.5041366556	0.3835409772
"X39_GG120622"	"This_study"	"Great Basin"	"USA"	0.9418463471	0.7401716559	0.5054636801	0.2449654595
"X3_120618F"	"This_study"	"Great Basin"	"USA"	0.8221214316	0.7056828143	0.4929298319	0.3299157678
"X40_FF120621"	"This_study"	"Great Basin"	"USA"	0.7958201448	0.7952131119	0.7943892815	0.579109396
"X41_413A"	"This_study"	"Great Basin"	"USA"	0.8908454384	0.7174208381	0.4862054551	0.1466192915
"X42_413B"	"This_study"	"Great Basin"	"USA"	0.9941421013	0.8336482741	0.617850844	0.4445074326
"X43_413C"	"This_study"	"Great Basin"	"USA"	0.9292132771	0.8184485604	0.6264900055	0.1832019072
"X44_413D"	"This_study"	"Great Basin"	"USA"	0.979322745	0.776865448	0.4514234342	0.2249325742
"X45_223A"	"This_study"	"Great Basin"	"USA"	0.9535142716	0.8170681406	0.5569213001	0.3631826431
"X46_223B"	"This_study"	"Great Basin"	"USA"	0.9598613737	0.8487082546	0.531884058	0.2107120353
"X47_504A"	"This_study"	"Great Basin"	"USA"	0.84	0.64	0.36	0.16
"X48_504B"	"This_study"	"Great Basin"	"USA"	0.944788967	0.664198445	0.3893465383	0.2749907442
"X49_504D"	"This_study"	"Great Basin"	"USA"	0.8790051535	0.6179699754	0.3284225857	0.1584696393
"X4_120618E"	"This_study"	"Great Basin"	"USA"	0.8628918699	0.6319573112	0.521233232	0.5071518565
"X50_504H"	"This_study"	"Great Basin"	"USA"	0.9504795896	0.7477135847	0.5333035913	0.278563462
"X51_4130"	"This_study"	"Great Basin"	"USA"	0.9355063865	0.6925385636	0.3550638654	0.1821386194
"X52_41315"	"This_study"	"Great Basin"	"USA"	0.9188606863	0.6654579852	0.3401124599	0.1748909559
"X53_41340"	"This_study"	"Great Basin"	"USA"	0.937210445	0.68843886	0.364523375	0.192369788
"X54_41380"	"This_study"	"Great Basin"	"USA"	0.9564460772	0.7244646396	0.4338473437	0.2334316237
"X55_4132M"	"This_study"	"Great Basin"	"USA"	0.9912286465	0.8877463863	0.6624178712	0.2479303548
"X56_4133M"	"This_study"	"Great Basin"	"USA"	0.8285714286	0.1428571429	0.0380952381	0.0285714286
"X57_4134M"	"This_study"	"Great Basin"	"USA"	0.9585416308	0.6368729529	0.0061627306	0.0036200655
"X58_5040"	"This_study"	"Great Basin"	"USA"	0.9158518921	0.6845464422	0.3698171284	0.1710573963
"X59_50410"	"This_study"	"Great Basin"	"USA"	0.9275725934	0.7648599786	0.4096963436	0.2190901376
"X5_120618D"	"This_study"	"Great Basin"	"USA"	0.7139440325	0.1733237662	0.1729251375	0.1049190784
"X60_50425"	"This_study"	"Great Basin"	"USA"	0.9356719464	0.7792245652	0.4500534448	0.2371975513
"X61_50445"	"This_study"	"Great Basin"	"USA"	0.9228502641	0.7487872363	0.3681770815	0.1788781487
"X62_504100"	"This_study"	"Great Basin"	"USA"	0.9077498664	0.6874398717	0.3207910208	0.1246926777
"X63_504250"	"This_study"	"Great Basin"	"USA"	0.9014306099	0.6424206944	0.2582415572	0.1002158721
"X64_GBS60"	"This_study"	"Great Basin"	"USA"	0.9097189646	0.8038722334	0.608682673	0.4505949081
"X65_GBS70"	"This_study"	"Great Basin"	"USA"	0.9778359167	0.9316319479	0.9101589496	0.8940171784
"X66_GBS85"	"This_study"	"Great Basin"	"USA"	0.9745216083	0.9733928187	0.9724790368	0.971941518
"X67_GBS90"	"This_study"	"Great Basin"	"USA"	0.9675706215	0.8990960452	0.8069491525	0.4101694915
"X68_LHC1"	"This_study"	"Great Basin"	"USA"	0.8369750426	0.7965821389	0.737045204	0.6209281347
"X69_LHC3"	"This_study"	"Great Basin"	"USA"	0.7822442861	0.7781825215	0.5409561265	0.2911576029
"X6_120618C"	"This_study"	"Great Basin"	"USA"	0.9512342242	0.917733853	0.8883166295	0.876716778
"X70_LHC4"	"This_study"	"Great Basin"	"USA"	0.9880671032	0.9810545891	0.9411491225	0.8952384642
"X71_006HC1"	"This_study"	"Great Basin"	"USA"	0.927816829	0.8691166194	0.8165823982	0.7211328976
"X72_GBS09"	"This_study"	"Great Basin"	"USA"	0.9855571417	0.8619951297	0.6422873457	0.4997480897
"X73_GBSC1"	"This_study"	"Great Basin"	"USA"	0.9706865402	0.8044263776	0.6435411021	0.4382565492
"X74_GBS16"	"This_study"	"Great Basin"	"USA"	0.9788430241	0.9026483208	0.5884992849	0.5059426937
"X75_GBS15"	"This_study"	"Great Basin"	"USA"	0.985904641	0.7854876722	0.67775562	0.560551124
"X76_GBS04C"	"This_study"	"Great Basin"	"USA"	0.9933262404	0.8992649192	0.7699003772	0.619547345
"X77_GBSX3"	"This_study"	"Great Basin"	"USA"	0.9749922816	0.9127431306	0.8449367089	0.7591463415
"X78_GBS10"	"This_study"	"Great Basin"	"USA"	0.9781280154	0.7117125396	0.436245003	0.3079998162
"X79_GBS19"	"This_study"	"Great Basin"	"USA"	0.8628141057	0.7675793623	0.7468149504	0.1860350531
"X7_120618B"	"This_study"	"Great Basin"	"USA"	0.9605629673	0.7344231051	0.734129893	0.7338366808
"X80_GBSX2"	"This_study"	"Great Basin"	"USA"	0.9520666612	0.8415147265	0.6169045458	0.4650193878
"X81_GBS17A"	"This_study"	"Great Basin"	"USA"	0.9362781419	0.9015104018	0.8839555429	0.883784554
"X82_GBS04B"	"This_study"	"Great Basin"	"USA"	0.969972618	0.764607602	0.7194505036	0.6371652666
"X83_09SSW"	"This_study"	"Great Basin"	"USA"	0.9578709237	0.9203943999	0.8727590917	0.8239713164
"X84_SSWC1"	"This_study"	"Great Basin"	"USA"	0.9329113444	0.8790130008	0.7458969791	0.5581245499
"X85_SSWC2"	"This_study"	"Great Basin"	"USA"	0.9284549056	0.8205879415	0.6155741252	0.4877317974
"X86_SSWC3"	"This_study"	"Great Basin"	"USA"	0.9486007995	0.6940931712	0.4451741862	0.2216692502
"X87_SV2C17"	"This_study"	"Great Basin"	"USA"	0.8974057249	0.72169011	0.4245252039	0.2704559137
"X88_SV2C18"	"This_study"	"Great Basin"	"USA"	0.8476821192	0.5969992891	0.3127548921	0.1620084559
"X89_SV2C3"	"This_study"	"Great Basin"	"USA"	0.9843804538	0.9140488656	0.787609075	0.6611692845
"X8_20120618A"	"This_study"	"Great Basin"	"USA"	0.962485581	0.9473393851	0.930989518	0.9123326145
"X90_SV2C8"	"This_study"	"Great Basin"	"USA"	0.9228297542	0.783698388	0.4185722701	0.2899908959
"X91_SVX1"	"This_study"	"Great Basin"	"USA"	0.9656497815	0.9199304095	0.9126881372	0.8696795598
"X92_SVX2"	"This_study"	"Great Basin"	"USA"	0.9242547206	0.8584104312	0.834604772	0.7101660986
"X93_22SV2"	"This_study"	"Great Basin"	"USA"	0.7792889525	0.0885230255	0.0882048835	0.0078740157
"X9_120620P"	"This_study"	"Great Basin"	"USA"	0.8178461538	0.7264	0.4285538462	0.2685948718
"454Reads.10Y21b"	"Coleman"	"Yellowstone National Park"	"USA"	0.2732967894	0.2552858262	0.2278778387	0.0477682067
"454Reads.10YLCB012_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.9962616822	0.9925233645	0.7283489097	0.7283489097
"454Reads.10YLCB013_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.9727030626	0.9728695073	0.9216045273	0.7937749667
"454Reads.10YNOR008_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.7948587857	0.6791814646	0.6609166244	0.6609166244
"454Reads.10YGIB010_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.0604693141	0.0604693141	0.0586642599	0.0586642599
"454Reads.10Y20b"	"Coleman"	"Yellowstone National Park"	"USA"	0.3983935743	0.3550200803	0.2220883534	0.1493975904
"454Reads.10Y08b"	"Coleman"	"Yellowstone National Park"	"USA"	0.1666666667	0.1666666667	0.1666666667	0.1666666667
"454Reads.10YAPT001_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.4367637253	0.4156479218	0.3271838186	0.3271838186
"454Reads.10YAPT001-PCR"	"Coleman"	"Yellowstone National Park"	"USA"	0.9997248211	0.9997248211	0.9997248211	0.9997248211
"454Reads.10Y16b"	"Coleman"	"Yellowstone National Park"	"USA"	0.3705583756	0.2277918782	0.2277918782	0.2246192893
"454Reads.10YLOW041-PCR"	"Coleman"	"Yellowstone National Park"	"USA"	0.6802537296	0.6715611418	0.6424292259	0.6273933983
"454Reads.10Y14b"	"Coleman"	"Yellowstone National Park"	"USA"	0.2083333333	0.1666666667	0.1666666667	0.0416666667
"454Reads.10Y45b"	"Coleman"	"Yellowstone National Park"	"USA"	0.0447761194	0.0149253731	0.0149253731	0.0149253731
"454Reads.10YLOW021-PCR"	"Coleman"	"Yellowstone National Park"	"USA"	0.7527479469	0.7315224258	0.7173720783	0.646241314
"454Reads.10Y18b"	"Coleman"	"Yellowstone National Park"	"USA"	0.0652173913	0.0217391304	0.0217391304	0
"454Reads.10YNMC002_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.9900332226	0.5747508306	0.3853820598	0.3853820598
"454Reads.10YMID017_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.9793307087	0.9773622047	0.8811515748	0.7241633858
"454Reads.10YLOW041_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.8823529412	0.8823529412	0.8823529412	0.2941176471
"454Reads.10Y03b"	"Coleman"	"Yellowstone National Park"	"USA"	0.0279898219	0.0279898219	0.0279898219	0.0279898219
"454Reads.10YLOW042_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.4713322091	0.4713322091	0.4704890388	0.089376054
"454Reads.10YLOW019_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.3683406854	0.3603664744	0.3461146929	0.3108245674
"454Reads.10YLOW021_Archaea"	"Coleman"	"Yellowstone National Park"	"USA"	0.9203732504	0.9197511664	0.8936236392	0.8497667185
